dnf	libinput	libinput-devel
dnf	maim	maim
dnf	mako	mako
dnf	mangowm	
dnf	niri	niri
dnf	openbox	openbox
dnf	pixman	pixman-devel
dnf	polybar	polybar
dnf	pulseaudio-utils	pulseaudio-utils
dnf	python	python3
dnf	qtile	qtile
dnf	river	river
dnf	rofi	rofi
dnf	rofi-wayland	
dnf	slurp	slurp
dnf	st	st
dnf	swaybg	swaybg
dnf	swayfx	
dnf	swayidle	swayidle
dnf	swaylock	swaylock
dnf	swaync	SwayNotificationCenter
dnf	sway	sway
dnf	tint2	
dnf	tofi	
dnf	uwsm	
dnf	waybar	waybar
dnf	wayfire	wayfire
dnf	wayland-protocols	wayland-protocols-devel
dnf	wayland	wayland-devel
dnf	wireplumber	wireplumber
dnf	wl-clipboard	wl-clipboard
dnf	wlroots	wlroots-devel
dnf	wofi	wofi
dnf	xclip	xclip
dnf	xft	libXft-devel
dnf	xinerama	libXinerama-devel
dnf	xlib	libX11-devel
dnf	xmonad	xmonad-core
dnf	xorg-xrandr	xrandr
dnf	xsetroot	xsetroot
dnf	xterm	xterm
dnf	yambar	yambar
guix	alacritty	alacritty
guix	awesome	awesome
guix	bemenu	bemenu
guix	bspwm	bspwm
guix	dmenu	dmenu
guix	dunst	dunst
guix	dwl	dwl
guix	dwm	dwm
guix	fastfetch	fastfetch
guix	foot	foot
guix	fuzzel	fuzzel
guix	grim	grim
guix	hyprland	hyprland
guix	i3	i3-wm
guix	i3lock	i3lock
guix	icewm	icewm
guix	kitty	kitty
guix	maim	maim
guix	mako	mako
guix	mangowm	mangowm
guix	niri	niri
guix	openbox	openbox
guix	polybar	polybar
guix	pulseaudio-utils	pulseaudio
guix	python	python
guix	qtile	qtile
guix	river	river
guix	rofi	rofi
guix	rofi-wayland	
guix	slurp	slurp
guix	st	st
guix	swaybg	swaybg
guix	swayfx	swayfx
guix	swayidle	swayidle
guix	swaylock	swaylock
guix	swaync	swaynotificationcenter
guix	sway	sway
guix	tint2	tint2
guix	tofi	tofi
guix	uwsm	
guix	waybar	waybar
guix	wayfire	wayfire
guix	wireplumber	wireplumber
guix	wl-clipboard	wl-clipboard
guix	wofi	wofi
guix	xclip	xclip
guix	xmonad	xmonad
guix	xorg-xrandr	xrandr
guix	xsetroot	xsetroot
guix	xterm	xterm
guix	yambar	yambar-wayland
kiss	bemenu	
kiss	foot	wayland/foot
kiss	grim	wayland/grim
kiss	slurp	wayland/slurp
kiss	swaybg	
kiss	swayfx	
kiss	swayidle	
kiss	swaylock	
